122,197,205,174.6666666667,0.3015267176,-79,-6.9282032303,-1.6582713011,175.487,Light,cold,Blue,Cadet,7AC5CD,CadetBlue3,
142,229,238,203,0.3004926108,-91.5,-7.7942286341,-1.6557740137,204.013,Light,cold,Blue,Cadet,8EE5EE,CadetBlue2,
152,245,255,217.3333333333,0.3006134969,-98,-8.6602540378,-1.6589373036,218.333,Light,cold,Blue,Cadet,98F5FF,CadetBlue1,
69,139,0,69.3333333333,1,-0.5,120.377531126,-0.0041535752,102.224,Medium,warm,Green,chartreuse,458B00,chartreuse4,
102,205,0,102.3333333333,1,-0.5,177.5352077758,-0.0028163353,150.833,Medium,warm,Green,chartreuse,66CD00,chartreuse3,
118,238,0,118.6666666667,1,-1,206.1140461007,-0.0048516449,174.988,Light,warm,Green,chartreuse,76EE00,chartreuse2,
92,51,23,55.3333333333,0.5843373494,55,24.248711306,1.1555476871,60.067,Dark,warm,Brown,Chocolate,5C3317,baker's chocolate,
92,64,51,69,0.2608695652,34.5,11.2583302492,1.2553633931,70.89,Dark,warm,Brown,Chocolate,5C4033,Very Dark Brown,
107,66,38,70.3333333333,0.4597156398,55,24.248711306,1.1555476871,75.067,Dark,warm,Brown,Chocolate,6B4226,Semi-Sweet Chocolate,
74,118,110,100.6666666667,0.2649006623,-40,6.9282032303,-1.3992927728,103.932,Medium,cold,Green,Cooper,4A766E,dark green copper,
66,66,111,81,0.1851851852,-22.5,-38.9711431703,-2.617993878,71.13,Dark,cold,Blue,Corn Flower,42426F,Corn Flower Blue,
100,149,237,162,0.3827160494,-93,-76.210235533,-2.2572939322,144.381,Medium,cold,Blue,Corn Flower,6495ED,CornflowerBlue,
0,139,139,92.6666666667,1,-139,0,-1.5707963268,97.439,Medium,cold,Blue,Cyan,008B8B,cyan4,
122,139,139,133.3333333333,0.085,-17,0,-1.5707963268,133.917,Medium,cold,Blue,Cyan,7A8B8B,LightCyan4,
0,205,205,136.6666666667,1,-205,0,-1.5707963268,143.705,Medium,cold,Blue,Cyan,00CDCD,cyan3,
0,238,238,158.6666666667,1,-238,0,-1.5707963268,166.838,Light,cold,Blue,Cyan,00EEEE,cyan2,
0,255,255,170,1,-255,0,-1.5707963268,178.755,Light,cold,Blue,Cyan,00FFFF,cyan,
180,205,205,196.6666666667,0.0847457627,-25,0,-1.5707963268,197.525,Light,cold,Blue,Cyan,B4CDCD,LightCyan3,
209,238,238,228.3333333333,0.0846715328,-29,0,-1.5707963268,229.329,Light,cold,Blue,Cyan,D1EEEE,LightCyan2,
224,255,255,244.6666666667,0.0844686649,-31,0,-1.5707963268,245.731,Light,cold,Blue,Cyan,E0FFFF,LightCyan,
0,100,0,33.3333333333,1,-50,86.6025403784,-0.5235987756,58.7,Dark,neutral,Green,Dark Green,6400,DarkGreen,
47,79,47,57.6666666667,0.1849710983,-16,27.7128129211,-0.5235987756,65.784,Dark,neutral,Green,Dark Green,2F4F2F,Dark Green,
0,104,139,81,1,-121.5,-30.3108891325,-1.8152783057,76.894,Dark,cold,Blue,Deep Sky,00688B,DeepSkyBlue4,
0,154,205,119.6666666667,1,-179.5,-44.167295593,-1.8120608387,113.768,Medium,cold,Blue,Deep Sky,009ACD,DeepSkyBlue3,
0,178,238,138.6666666667,1,-208,-51.9615242271,-1.8156008838,131.618,Medium,cold,Blue,Deep Sky,00B2EE,DeepSkyBlue2,
0,191,255,148.6666666667,1,-223,-55.4256258422,-1.8144054937,141.187,Medium,cold,Blue,Deep Sky,00BFFF,DeepSkyBlue,
16,78,139,77.6666666667,0.7939914163,-92.5,-52.8275496309,-2.0897012322,66.416,Dark,cold,Blue,Dodger,104E8B,DodgerBlue4,
24,116,205,115,0.7913043478,-136.5,-77.0762609368,-2.084826053,98.638,Medium,cold,Blue,Dodger,1874CD,DodgerBlue3,
28,134,238,133.3333333333,0.79,-158,-90.0666419936,-2.0888965838,114.162,Medium,cold,Blue,Dodger,1C86EE,DodgerBlue2,
30,144,255,143,0.7902097902,-169.5,-96.1288198201,-2.0866972509,122.568,Medium,cold,Blue,Dodger,1E90FF,DodgerBlue,
0,128,0,42.6666666667,1,-64,110.8512516844,-0.5235987756,75.136,Dark,neutral,Green,Forest,8000,green,
34,139,34,69,0.5072463768,-52.5,90.9326673974,-0.5235987756,95.635,Dark,neutral,Green,Forest,228B22,ForestGreen,
35,142,35,70.6666666667,0.5047169811,-53.5,92.6647182049,-0.5235987756,97.809,Medium,neutral,Green,Forest,2.38E+25,"Forest Green, Khaki, Medium Aquamarine",
219,219,112,183.3333333333,0.3890909091,53.5,92.6647182049,0.5235987756,206.802,Light,warm,Green,Forest,DBDB70,Medium Forest Green,
0,238,0,79.3333333333,1,-119,206.1140461007,-0.5235987756,139.706,Medium,neutral,Green,green2,00EE00,green2,
0,205,0,68.3333333333,1,-102.5,177.5352077758,-0.5235987756,120.335,Medium,neutral,Green,green3,00CD00,green3,
0,139,0,46.3333333333,1,-69.5,120.377531126,-0.5235987756,81.593,Dark,neutral,Green,green4,008B00,green4,
